link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
8444405209380,"1ª Tv Arthur Gonzales Lt 01 Qd U, N. 1, Atual 3ª Travessa Arthur Gonzales QD-U",NOVA BRASILIA,"Casa, 54.00 de área total, 54.00 de área privativa, 0.00 de área do terreno, 1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",29287.07,96600.0,69.69,Venda Direta Online,Ver foto,SALVADOR,BA
8444406874337,"R ALTO DO FORNO, N. 00023, Apto 201",CIDADE NOVA,"Apartamento, 160.00 de área total, 160.00 de área privativa, 0.00 de área do terreno, 3 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",105199.14,185634.61,43.33,Venda Direta Online,Ver foto,SALVADOR,BA
8444408896435,"RUA 08 QUADRA 07 1º PAVIMENTO, N. 11-A",CASTELO BRANCO,"Casa, 120.00 de área total, 120.00 de área privativa, 0.00 de área do terreno, 3 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha.",94072.21,166000.0,43.33,Venda Direta Online,Ver foto,SALVADOR,BA
8555510336810,"Tua A Vloco XXI, N. 470, Apto 301, Atual Rua Santa Edwiges",MATA ESCURA,"Apartamento, 57.00 de área total, 57.00 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",65737.21,116000.0,43.33,Venda Direta Online,,SALVADOR,BA
8555512734537,"Cam 109, N. 03, Setor C",CAJAZEIRAS II,"Casa, 45.30 de área total, 45.30 de área privativa, 98.75 de área do terreno, 3 qto(s), WC, 1 sala(s), cozinha.",43299.92,75800.0,42.88,Venda Direta Online,Ver foto,SALVADOR,BA
8444408042894,"Rua Avelino Constantino de Barros, N. S/N, Bairro Vila São Pedro. Atual Qd 53 Lt",CENTRO,"Casa, 75.25 de área total, 75.25 de área privativa, 0.00 de área do terreno, 2 qto(s), WC, 1 sala(s), cozinha.",27484.95,49400.0,44.37,Venda Direta Online,,SANTA BRIGIDA,BA
10004333,"Av Colômbia, N. 495, Bairro Malvão",CENTRO,"Casa, 122.46 de área total, 122.46 de área privativa, 111.52 de área do terreno, 3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",161381.76,229034.0,29.54,Venda Direta Online,Ver foto,SANTA MARIA DA VITORIA,BA
10139057,"SEBASTIÃO LARANJEIRA, N. 133",CENTRO,"Casa, 0.00 de área total, 171.10 de área privativa, 0.01 de área do terreno.",150000.0,250000.0,40.0,Venda Direta Online,,SANTA MARIA DA VITORIA,BA
10008406,"Lot Planalto Luzense Rua Projetada, N. 172",CENTRO,"Casa, 60.50 de área total, 60.50 de área privativa, 0.00 de área do terreno, 1 qto(s), WC, 1 sala(s), cozinha.",60233.1,83000.0,27.43,Venda Direta Online,,SANTALUZ,BA
10008329,"Qd A Lotes 2 e 3; Qd C Lotes 6 7 8 e 9, Lot Chácara Sinhá Residencial",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 3180.00 de área do terreno.",413844.94,570270.0,27.43,Venda Direta Online,Ver foto,SAO GONCALO DOS CAMPOS,BA
1555516226554,Chácara Boa Hora,CENTRO,"Casa, 397.85 de área total, 397.85 de área privativa, 14662.55 de área do terreno, 8 qto(s), varanda, 2 suite(s), WC, churrasqueira, 3 sala(s), piscina, cozinha.",823500.0,1830000.0,55.0,Venda Online,Ver foto,SAO GONCALO DOS CAMPOS,BA
